parents,random,edges,time
120,20222,20659,0.02677011489868164
120,48378,48922,0.07174062728881836
120,14571,14908,0.018939495086669922
120,44418,44802,0.06575155258178711
120,32758,33151,0.046457767486572266
120,32114,32477,0.044846296310424805
120,9563,9890,0.012197494506835938
120,57065,57581,0.08543682098388672
120,53888,54373,0.08060193061828613
120,10024,10148,0.012604475021362305
120,19988,20319,0.027398347854614258
120,54003,54472,0.08072209358215332
120,16011,16274,0.02110743522644043
120,55284,55695,0.08270883560180664
160,29039,29435,0.03988170623779297
160,33892,34142,0.048156023025512695
160,100672,101260,0.15911149978637695
160,96192,96825,0.15241289138793945
160,93564,94175,0.14713144302368164
160,32855,33175,0.0465850830078125
160,47952,48206,0.07177877426147461
160,44437,44619,0.06587338447570801
160,60937,61711,0.09185576438903809
160,62182,62788,0.09375405311584473
160,99997,100598,0.15678787231445312
160,988,1280,0.001562356948852539
160,74173,74653,0.11453580856323242
160,77269,77681,0.11880612373352051
160,34798,35351,0.051740169525146484
160,57998,58499,0.08723044395446777
160,2062,2343,0.0028417110443115234
160,36478,37140,0.054575204849243164
160,93449,94133,0.1468212604522705
160,40174,40466,0.059935569763183594
200,134256,134886,0.21654772758483887
200,73561,73974,0.1148989200592041
200,38000,38635,0.05679965019226074
200,151809,152560,0.24752092361450195
200,12437,12963,0.016533613204956055
200,131338,132112,0.2140951156616211
200,36336,36701,0.052555084228515625
200,33135,33685,0.04854178428649902
200,132532,133392,0.21385788917541504
200,102714,103440,0.16411900520324707
200,73843,73902,0.11346626281738281
200,140470,141078,0.22812485694885254
200,159188,160001,0.2654423713684082
200,14777,15142,0.019853591918945312
200,119343,120340,0.19216012954711914
200,37354,37640,0.056615352630615234
200,27945,28547,0.04094290733337402
200,102158,102915,0.1632368564605713
200,153538,154205,0.2520458698272705
200,7548,7933,0.00998544692993164
250,159910,161328,0.2667710781097412
250,93490,94014,0.14748692512512207
250,168068,168958,0.2809572219848633
250,155706,156458,0.2580435276031494
250,74617,75319,0.11870741844177246
250,90565,91434,0.14398550987243652
250,82962,83764,0.13042759895324707
250,93013,93703,0.14722561836242676
250,25499,26274,0.03763246536254883
250,58123,58387,0.08804869651794434
250,133597,134442,0.21860885620117188
250,243964,244876,0.4247775077819824
250,11784,12220,0.01574540138244629
250,72334,72759,0.11162114143371582
250,145337,145896,0.24015021324157715
250,191258,192296,0.32146573066711426
250,196871,197568,0.33257460594177246
250,23086,23588,0.03436565399169922
250,64949,65418,0.1009223461151123
250,83771,84825,0.1379079818725586
300,174711,175430,0.29035329818725586
300,153542,154237,0.25208044052124023
300,301349,302665,0.5311422348022461
300,242719,243918,0.4161982536315918
300,51506,52460,0.0787055492401123
300,153178,154037,0.2509341239929199
300,46914,47704,0.07296061515808105
300,338986,340204,0.6155154705047607
300,106026,106968,0.16852211952209473
300,191707,192638,0.32269954681396484
300,87120,88095,0.13678979873657227
300,274492,275437,0.47333359718322754
300,235770,236351,0.40184664726257324
300,237566,238491,0.4087827205657959
300,293080,294326,0.5094261169433594
300,106835,107975,0.17267751693725586
300,298453,299800,0.5200686454772949
300,209274,210229,0.3527052402496338
300,126262,126973,0.20200467109680176
300,160734,161833,0.264880895614624
310,262943,263833,0.45269012451171875
310,17618,18234,0.0249478816986084
310,59871,60418,0.08999872207641602
310,186546,187591,0.3109915256500244
310,352085,353486,0.639296293258667
310,369242,370548,0.6592519283294678
310,344930,346234,0.6128983497619629
310,47616,48606,0.07204508781433105
310,55965,56368,0.08296871185302734
310,28439,29213,0.042176008224487305
310,74216,75081,0.11565542221069336
310,221363,222151,0.37334442138671875
310,118962,119894,0.19767379760742188
310,207839,208710,0.3519926071166992
310,159315,160358,0.26135683059692383
310,121469,122051,0.19811391830444336
310,151904,152566,0.2467648983001709
310,74004,74313,0.11361551284790039
310,332571,333591,0.5842065811157227
310,50108,50663,0.07602739334106445
320,182249,182571,0.29944467544555664
320,189374,190065,0.3193845748901367
320,163943,164866,0.2764599323272705
320,101386,102079,0.16005182266235352
320,178158,179052,0.29509758949279785
320,363949,365298,0.6495449542999268
320,274157,274731,0.47427988052368164
320,302179,303488,0.5311863422393799
320,167212,168068,0.2746870517730713
320,111453,112526,0.1791534423828125
320,128526,129670,0.20706868171691895
320,406254,407599,0.7351911067962646
320,3245,3896,0.004876136779785156
320,383239,384621,0.684633731842041
320,89594,90268,0.14151954650878906
320,14767,15486,0.020673751831054688
320,215693,216673,0.3639979362487793
320,406256,407551,0.7332849502563477
320,153276,153735,0.253662109375
320,288415,289228,0.5029480457305908
330,199193,200446,0.33411097526550293
330,402479,403576,0.7244865894317627
330,260268,261649,0.4503211975097656
330,3690,4358,0.005615711212158203
330,191791,193038,0.32175135612487793
330,103911,104925,0.16484284400939941
330,371852,372436,0.6642208099365234
330,358387,359630,0.6381871700286865
330,336155,337149,0.6007535457611084
330,139305,140221,0.22500371932983398
330,155829,156533,0.2592029571533203
